PRODUCT_NAME,ADDITIVES_EN,ADDITIVES_EN_encoded,ALCOHOL_100G,ALLERGENS,ALLERGENS_encoded,ALPHA_LINOLENIC_ACID_100G,CALCIUM_100G,CARBOHYDRATES_100G,CARBON_FOOTPRINT_100G,CARBON_FOOTPRINT_FROM_MEAT_OR_FISH_100G,CHOLESTEROL_100G,CREATOR,CREATOR_encoded,ECOSCORE_GRADE,ECOSCORE_GRADE_encoded,ECOSCORE_SCORE,ENERGY_100G,ENERGY_FROM_FAT_100G,ENERGY_KCAL_100G,ENERGY_KJ_100G,FAT_100G,FIBER_100G,FOOD_GROUPS_EN,FOOD_GROUPS_EN_encoded,FRUITS_VEGETABLES_NUTS_100G,FRUITS_VEGETABLES_NUTS_ESTIMATE_100G,FRUITS_VEGETABLES_NUTS_ESTIMATE_FROM_INGREDIENTS_100G,INGREDIENTS_TAGS,INGREDIENTS_TAGS_encoded,INGREDIENTS_TEXT,INGREDIENTS_TEXT_encoded,INSOLUBLE_FIBER_100G,IODINE_100G,IRON_100G,LACTOSE_100G,MAGNESIUM_100G,MALTODEXTRINS_100G,MONOUNSATURATED_FAT_100G,NUTRISCORE_GRADE,NUTRISCORE_GRADE_encoded,NUTRISCORE_SCORE,NUTRITION_SCORE_FR_100G,OMEGA_3_FAT_100G,OMEGA_6_FAT_100G,PANTOTHENIC_ACID_100G,PHOSPHORUS_100G,PHYLLOQUINONE_100G,POLYUNSATURATED_FAT_100G,POTASSIUM_100G,PROTEINS_100G,SALT_100G,SATURATED_FAT_100G,SODIUM_100G,STARCH_100G,SUCROSE_100G,SUGARS_100G,TRACES_EN,TRACES_EN_encoded,TRANS_FAT_100G,VITAMIN_A_100G,VITAMIN_B12_100G,VITAMIN_B1_100G,VITAMIN_B2_100G,VITAMIN_B6_100G,VITAMIN_B9_100G,VITAMIN_C_100G,VITAMIN_D_100G,VITAMIN_E_100G,VITAMIN_K_100G,VITAMIN_PP_100G,ZINC_100G
POSTRE DE SOJA FRUTOS DEL BOSQUE,"E412 - GUAR GUM,E440 - PECTINS",0.9150326797385622,0.0,EN:SOYBEANS,0.9230769230769231,0.0,0.0005853658536585366,0.0225,0.0,0.0,0.0,NEPTUNO,0.6385542168674698,B,0.2857142857142857,0.6640625,0.05595906239683064,0.0,0.05593922651933701,0.0,0.017,0.0,"SUGARY SNACKS,SWEETS",0.96875,0.0,0.0,0.07633587786259542,"EN:SOY-MILK,EN:SOY-PREPARATION,EN:RED-FRUITS,EN:FRUIT,EN:SUGAR,EN:ADDED-SUGAR,EN:DISACCHARIDE,EN:CORN-STARCH,EN:STARCH,EN:E341III,EN:E341,EN:CONCENTRATED-LEMON-JUICE,EN:FRUIT-JUICE,EN:LEMON-JUICE,EN:NATURAL-FLAVOURING,EN:FLAVOURING,EN:THICKENER,EN:E412,ES:CONCENTRADO-DE-HIBISCO-Y-ZANAHORIA,EN:SALT,EN:SELECTED-FERMENTS,EN:FERMENT,EN:WATER,EN:SOYA-BEAN,EN:LEGUME,EN:SOYA,EN:LINGONBERRY,EN:BERRIES,EN:STRAWBERRY,EN:BLACKBERRY,EN:RASPBERRY,EN:E440A",0.29573170731707316,"76% BEBIDA DE _SOJA_ (AGUA, 6,6% GRANOS DE _SOJA_), 10% FRUTOS ROJOS (3% ARÁNDANOS, 2,9% FRESA, 2,8% MORA, 1,3 % FRAMBUESA), 10% AZÚCAR, ALMIDÓN DE MAÍZ, FOSFATO TRICÁLCICO, ZUMO DE LIMÓN CONCENTRADO, AROMAS NATURALES, ESPESANTES: PECTINAS, GOMA GUAR, CONCENTRADO DE HIBISCO Y ZANAHORIA, SAL, FERMENTOS SELECCIONADOS.",0.024822695035460994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B,0.4,0.34883720930232553,0.34883720930232553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03229166666666666,0.0012962962962962963,0.005,0.0012962962962962963,0.0,0.0,0.15277777777777776,NUTS,0.9395604395604397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YOGUR DE SOJA DE FRUTOS DEL BOSQUE,,0.0,0.0,,0.0,0.0,0.0,0.02089285714285714,0.0,0.0,0.0,KILIWEB,0.4698795180722891,UNKNOWN,1.0,0.046875,0.05117200396170354,0.0,0.0511049723756906,0.0,0.013000000000000001,0.0,"MILK AND DAIRY PRODUCTS,MILK AND YOGURT",0.78125,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B,0.4,0.3023255813953488,0.3023255813953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03645833333333333,0.002037037037037037,0.0033333333333333335,0.002037037037037037,0.0,0.0,0.13055555555555556,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DESSERT VÉGÉTAL SOJA CITRON,,0.0,0.0,,0.0,0.0,0.0,0.024107142857142855,0.0,0.0,0.0,KILIWEB,0.4698795180722891,UNKNOWN,1.0,0.046875,0.05727963024100363,0.0,0.057320441988950276,0.0,0.018000000000000002,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.3023255813953488,0.3023255813953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03229166666666666,0.0,0.0033333333333333335,0.0,0.0,0.0,0.17222222222222222,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAUCE SOJA,,0.0,0.0,,0.0,0.0,0.0,0.09089285714285714,0.0,0.0,0.0,KILIWEB,0.4698795180722891,B,0.2857142857142857,0.6484375,0.1587982832618026,0.0,0.15883977900552484,0.0,0.0,0.0,"FATS AND SAUCES,DRESSINGS AND SAUCES",0.34375,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,1.0,0.813953488372093,0.813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06562499999999999,0.18277777777777776,0.0,0.18277777777777776,0.0,0.0,0.7013888888888888,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BULGURSALAT MIT DIP UND VEGANEN SOJA-STREIFEN,,0.0,0.0,,0.0,0.0,0.0,0.047678571428571424,0.0,0.0,0.0,KILIWEB,0.4698795180722891,UNKNOWN,1.0,0.046875,0.15269065698250248,0.0,0.15262430939226518,0.0,0.084,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.3023255813953488,0.3023255813953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08124999999999999,0.018518518518518517,0.01,0.018518518518518517,0.0,0.0,0.10138888888888888,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NATILLAS DE SOJA CHOCOLATE,"E14XX - MODIFIED STARCH,E410 - LOCUST BEAN GUM,E417 - TARA GUM",0.25163398692810457,0.0,EN:SOYBEANS,0.9230769230769231,0.0,0.0,0.027142857142857142,0.0,0.0,0.0,KILIWEB,0.4698795180722891,B,0.2857142857142857,0.640625,0.053813139650049524,0.0,0.05386740331491713,0.0,0.026000000000000002,0.041379310344827586,"SUGARY SNACKS,SWEETS",0.96875,0.0,0.0,0.0,"EN:WATER,EN:SOYA-BEAN,EN:LEGUME,EN:SOYA,EN:SUGAR,EN:ADDED-SUGAR,EN:DISACCHARIDE,EN:COCOA,EN:MODIFIED-CORN-STARCH,EN:STARCH,EN:CORN-STARCH,EN:MODIFIED-STARCH,EN:E341,EN:THICKENER,EN:E410,EN:FLAVOURING,EN:SALT,EN:VITAMINS,EN:VITAMIN-D,EN:E101,EN:E417",0.7004573170731707,"AGUA, 11% HABAS DE SOJA, AZÚCAR,  3% CACAO, ALMIDÓN MODIFICADO DE MAÍZ, SALES CALCICAS DE ÁCIDO ORTOFOSFÓRICO, ESPESANTE: GOMA TARA, GOMA GARROFÍN; AROMA, SAL, VITAMINAS D Y B2",0.03829787234042553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,0.2,0.27906976744186046,0.27906976744186046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.0027777777777777775,0.011666666666666665,0.0027777777777777775,0.0,0.0,0.14861111111111108,FRUTOS-DE-CASCARA-Y-GLUTEN,0.6978021978021979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRÜNKOHL-RÄUCHERTOFU,,0.0,0.0,,0.0,0.0,0.0,0.008214285714285714,0.0,0.0,0.0,REIMERSTUDT,0.8152610441767068,UNKNOWN,1.0,0.046875,0.10911191812479366,0.0,0.10911602209944751,0.0,0.13,0.0,"SALTY SNACKS,SALTY AND FATTY PRODUCTS",0.875,0.0,0.0,0.4198473282442748,"EN:KALE,EN:VEGETABLE,EN:CABBAGE,EN:ONION,EN:ROOT-VEGETABLE,EN:CASHEW-NUTS,EN:NUT,EN:TREE-NUT,EN:TOFU,EN:SUNFLOWER-OIL,EN:OIL-AND-FAT,EN:VEGETABLE-OIL-AND-FAT,EN:VEGETABLE-OIL,EN:WATER,DE:RÄUCHERTOFU,DE:SOJABOHNEN-TRINKWASSER,EN:SOY-SAUCE,EN:SAUCE,DE:FESTGUNGSMITTEL-MAGNESIUMCHLORID-UND-CALCIUMSULFAT,EN:SMOKE,EN:SEA-SALT,EN:SALT,EN:SPICE,EN:CONDIMENT,DE:VERDICKUNGSMITEL,EN:UNREFINED-CANE-SUGAR,EN:ADDED-SUGAR,EN:DISACCHARIDE,EN:SUGAR,EN:CANE-SUGAR,EN:UNREFINED-SUGAR,EN:SOYA-BEAN,EN:LEGUME,EN:SOYA,DE:TRINKWASER-FESTIGUNGSMITTEL,EN:WHEAT,EN:CEREAL,DE:TINKWASSER-SOJABOHNEN-MEERSALZ,EN:CAROB-SEED-FLOUR,EN:FLOUR,EN:CAROB-SEEDS,EN:E511,EN:E516",0.08384146341463415,"GRÜNKOHL (45 %), ZWIEBELN, CASHEWKERNE, TOFU (SOJABOHNEN,TRINKWASER FESTIGUNGSMITTEL: MAGNESIUMCHLORID UND CALCIUMSULFAT), SONNENBLUMENÖL, TRINKWASSER, RÄUCHERTOFU, SOJABOHNEN TRINKWASSER, SOJASAUCE (TRINKWASSER, SOJABOHNEN, MEERSALZ, WEIZEN) FESTGUNGSMITTEL MAGNESIUMCHLORID UND CALCIUMSULFAT, RAUCH) (5 %), SOJASAUCE (TINKWASSER SOJABOHNEN MEERSALZ, WEIZEN), MEERSALZ, GEWÜRZE, VERDICKUNGSMITEL: JOHANNISBROTKERNMEHL, ROHROHRZUCKER",0.4340425531914894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.6000000000000001,0.3953488372093023,0.3953488372093023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05625,0.024074074074074074,0.045000000000000005,0.024074074074074074,0.0,0.0,0.018055555555555554,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIX EDAMAMEN Y SOJA TOSTADO SAL,,0.0,0.0,,0.0,0.0,0.0,0.01625,0.0,0.0,0.0,KILIWEB,0.4698795180722891,UNKNOWN,1.0,0.046875,0.2966325519973589,0.0,0.2969613259668508,0.48567567567567566,0.2,0.5172413793103449,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.3023255813953488,0.3023255813953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47916666666666663,0.030925925925925923,0.05,0.030925925925925926,0.0,0.0,0.12638888888888888,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAUCE SOJA,,0.0,0.0,,0.0,0.0,0.0,0.009464285714285713,0.0,0.0,0.0,KILIWEB,0.4698795180722891,B,0.2857142857142857,0.6484375,0.04275338395510069,0.0,0.04281767955801105,0.0,0.001,0.0,"FATS AND SAUCES,DRESSINGS AND SAUCES",0.34375,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.6000000000000001,0.41860465116279066,0.41860465116279066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09895833333333333,0.26666666666666666,0.0016666666666666668,0.26666666666666666,0.0,0.0,0.013888888888888888,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WOKMIX - MÉLANGE POUR WOK - SOJA,,0.0,0.0,,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,FOODVISOR,0.35341365461847385,UNKNOWN,1.0,0.046875,0.02344007923407065,0.0,0.023480662983425413,0.0,0.001,0.05862068965517241,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.3023255813953488,0.3023255813953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017708333333333333,0.0,0.0,0.0,0.0,0.0,0.05277777777777777,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
